ANZSOCGroup,MapDetailName,Region,NumberofVictimisations,NumberofRecords,OccurrenceDayOfWeek,Weapon,YearMonth
AggravatedSexualAssault,HillcrestWest.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/07/14
Non-AggravatedSexualAssault,TeAwamutuCentral.,WaikatoRegion,1,1,Sun,NotApplicable,1/07/14
AggravatedSexualAssault,TotaraHeights.,AucklandRegion,1,1,Tue,NotStated,1/07/14
AggravatedSexualAssault,FlaxmereEast.,Hawke'sBayRegion,1,1,Sun,NotStated,1/07/14
AggravatedSexualAssault,Wairoa.,Hawke'sBayRegion,1,1,UNKNOWN,NotStated,1/07/14
AggravatedSexualAssault,Wairoa.,Hawke'sBayRegion,1,1,UNKNOWN,NotStated,1/07/14
AggravatedSexualAssault,Brentwood.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/07/14
AggravatedSexualAssault,GlenEdenEast.,AucklandRegion,1,1,Mon,NotStated,1/07/14
AggravatedSexualAssault,GraftonEast.,AucklandRegion,1,1,Mon,NotStated,1/07/14
AggravatedSexualAssault,PukekoheNorth.,AucklandRegion,1,1,Wed,NotApplicable,1/09/14
AggravatedSexualAssault,Wiri.,AucklandRegion,1,1,Sat,NotApplicable,1/09/14
AggravatedSexualAssault,MellonsBay.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,StarlingPark.,AucklandRegion,1,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,1,1,Sat,NotStated,1/09/14
AggravatedSexualAssault,AucklandCentralEast.,AucklandRegion,1,1,UNKNOWN,NotStated,1/09/14
Non-AggravatedSexualAssault,TakapunaCentral.,AucklandRegion,1,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Tue,NotApplicable,1/09/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Tue,NotStated,1/09/14
Non-AggravatedSexualAssault,NewtownEast.,WellingtonRegion,3,1,UNKNOWN,NotApplicable,1/09/14
Non-AggravatedSexualAssault,LinwoodEast.,CanterburyRegion,1,1,Wed,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Nawton.,WaikatoRegion,1,1,Sun,NotApplicable,1/09/14
AggravatedSexualAssault,OtorohangaRuralEast.,WaikatoRegion,1,1,Mon,NotApplicable,1/09/14
Non-AggravatedSexualAssault,OtorohangaRuralEast.,WaikatoRegion,1,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,Konini.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,MtEdenNorth.,AucklandRegion,1,1,Mon,NotStated,1/07/14
AggravatedSexualAssault,FlaxmereEast.,Hawke'sBayRegion,1,1,Fri,NotStated,1/08/14
AggravatedSexualAssault,StLeonards.,Hawke'sBayRegion,1,1,Mon,NotStated,1/08/14
AggravatedSexualAssault,AvalonEast.,WellingtonRegion,1,1,Mon,NotStated,1/08/14
AggravatedSexualAssault,Mascot.,AucklandRegion,1,1,Mon,NotStated,1/07/14
AggravatedSexualAssault,MastertonWest.,WellingtonRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,Omahu.,Hawke'sBayRegion,1,1,UNKNOWN,NotApplicable,1/08/14
AggravatedSexualAssault,Marewa.,Hawke'sBayRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,Fernlea.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,RandwickPark.,AucklandRegion,1,1,Wed,NotApplicable,1/10/14
AggravatedSexualAssault,Balmoral.,AucklandRegion,1,1,Thu,NotStated,1/07/14
AggravatedSexualAssault,Holborn.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,SolwaySouth.,WellingtonRegion,1,1,Wed,NotStated,1/08/14
AggravatedSexualAssault,SolwayNorth.,WellingtonRegion,1,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,OtaraNorth.,AucklandRegion,2,1,Sun,NotApplicable,1/11/14
Non-AggravatedSexualAssault,SolwayNorth.,WellingtonRegion,2,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,HaraniaWest.,AucklandRegion,1,1,Mon,NotStated,1/08/14
AggravatedSexualAssault,OneTreeHillEast.,AucklandRegion,1,1,Thu,NotStated,1/11/14
AggravatedSexualAssault,TokomaruBay.,GisborneRegion,1,1,Wed,NotApplicable,1/12/14
AggravatedSexualAssault,Dannemora.,AucklandRegion,1,1,Sat,NotStated,1/08/14
AggravatedSexualAssault,PuhinuiNorth.,AucklandRegion,1,1,Sat,NotStated,1/08/14
Non-AggravatedSexualAssault,PapatoetoeCentral.,AucklandRegion,1,1,Sat,NotApplicable,1/12/14
AggravatedSexualAssault,WattleFarm.,AucklandRegion,1,1,Wed,NotApplicable,1/11/14
AggravatedSexualAssault,Milson.,Manawatu-WanganuiRegion,1,1,Sun,NotApplicable,1/11/14
AggravatedSexualAssault,Addington.,CanterburyRegion,1,1,Thu,NotApplicable,1/11/14
AggravatedSexualAssault,CambridgeWest.,WaikatoRegion,1,1,Sat,NotApplicable,1/11/14
AggravatedSexualAssault,Eketahuna.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotApplicable,1/11/14
Non-AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,Middlemore.,AucklandRegion,1,1,Sun,NotStated,1/08/14
AggravatedSexualAssault,GreyLynnEast.,AucklandRegion,1,1,Mon,NotStated,1/11/14
AggravatedSexualAssault,OtaraEast.,AucklandRegion,1,1,Fri,NotApplicable,1/10/14
Non-AggravatedSexualAssault,SandringhamNorth.,AucklandRegion,1,1,Wed,NotStated,1/12/14
AggravatedSexualAssault,NewPlymouthCentral.,TaranakiRegion,1,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,JohnsonvilleCentral.,WellingtonRegion,1,1,Fri,NotApplicable,1/12/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Fri,NotApplicable,1/12/14
AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/12/14
Non-AggravatedSexualAssault,HuttCentral.,WellingtonRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,Sun,NotApplicable,1/11/14
AggravatedSexualAssault,CockleBay.,AucklandRegion,1,1,Fri,NotStated,1/10/14
Non-AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,2,1,UNKNOWN,NotApplicable,1/11/14
Non-AggravatedSexualAssault,NewPlymouthCentral.,TaranakiRegion,1,1,Sun,NotStated,1/11/14
AggravatedSexualAssault,OtahuhuNorth.,AucklandRegion,1,1,Thu,NotApplicable,1/08/14
AggravatedSexualAssault,ParaparaumuBeachSouth.,WellingtonRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,ParaparaumuCentral.,WellingtonRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,Otaki.,WellingtonRegion,1,1,Wed,NotApplicable,1/08/14
AggravatedSexualAssault,RaumangaEast.,NorthlandRegion,1,1,Sat,NotStated,1/08/14
AggravatedSexualAssault,PointView.,AucklandRegion,1,1,Wed,NotApplicable,1/08/14
AggravatedSexualAssault,HendersonSouth.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Fri,NotStated,1/11/14
AggravatedSexualAssault,HuttCentral.,WellingtonRegion,1,1,Sat,NotApplicable,1/11/14
Non-AggravatedSexualAssault,WillisStreet-CambridgeTerrace.,WellingtonRegion,1,1,Sat,NotApplicable,1/11/14
Non-AggravatedSexualAssault,Rutland.,CanterburyRegion,1,1,Sat,NotApplicable,1/11/14
AggravatedSexualAssault,Bronte.,NelsonRegion,1,1,Sun,NotApplicable,1/11/14
AggravatedSexualAssault,RedwoodSouth.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,Camberley.,Hawke'sBayRegion,1,1,Thu,NotStated,1/10/14
AggravatedSexualAssault,FavonaSouth.,AucklandRegion,1,1,Thu,NotStated,1/10/14
AggravatedSexualAssault,Dannemora.,AucklandRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,Moanataiari.,WaikatoRegion,1,1,Mon,NotApplicable,1/08/14
AggravatedSexualAssault,RedoubtSouth.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/10/14
AggravatedSexualAssault,PapakuraNorth.,AucklandRegion,1,1,Tue,NotStated,1/11/14
Non-AggravatedSexualAssault,Newmarket.,AucklandRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,FlaxmereEast.,Hawke'sBayRegion,1,1,Sat,NotStated,1/11/14
AggravatedSexualAssault,HomedaleWest.,WellingtonRegion,1,1,Sat,NotStated,1/11/14
AggravatedSexualAssault,NaenaeSouth.,WellingtonRegion,1,1,Sun,NotStated,1/11/14
AggravatedSexualAssault,Carterton.,WellingtonRegion,1,1,Thu,NotApplicable,1/11/14
AggravatedSexualAssault,AndersonPark.,Hawke'sBayRegion,1,1,Wed,NotStated,1/11/14
AggravatedSexualAssault,Wairoa.,Hawke'sBayRegion,1,1,Wed,NotStated,1/11/14
AggravatedSexualAssault,Ferguson.,AucklandRegion,1,1,Sun,NotStated,1/11/14
AggravatedSexualAssault,OneTreeHillCentral.,AucklandRegion,1,1,Thu,NotStated,1/11/14
Non-AggravatedSexualAssault,ManurewaEast.,AucklandRegion,1,1,Mon,NotApplicable,1/08/14
Non-AggravatedSexualAssault,PoriruaCentral.,WellingtonRegion,1,1,Sun,NotStated,1/08/14
AggravatedSexualAssault,CooksGardens.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotApplicable,1/08/14
Non-AggravatedSexualAssault,BlenheimCentral.,MarlboroughRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,MangereBridge.,AucklandRegion,1,1,Thu,NotStated,1/11/14
AggravatedSexualAssault,Dannemora.,AucklandRegion,1,1,Wed,NotApplicable,1/10/14
AggravatedSexualAssault,PalmerstonNorthCentral.,Manawatu-WanganuiRegion,1,1,Sun,NotStated,1/10/14
AggravatedSexualAssault,Merrilands.,TaranakiRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,RaumangaEast.,NorthlandRegion,1,1,Mon,NotStated,1/10/14
Non-AggravatedSexualAssault,Northcote.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Gracefield.,WellingtonRegion,1,1,Wed,NotStated,1/12/14
Non-AggravatedSexualAssault,WhakataneNorth.,BayofPlentyRegion,2,1,Mon,NotApplicable,1/12/14
AggravatedSexualAssault,Waimana.,BayofPlentyRegion,1,1,UNKNOWN,Knife,1/12/14
Non-AggravatedSexualAssault,Greerton.,BayofPlentyRegion,1,1,Sat,NotStated,1/12/14
AggravatedSexualAssault,Whitikahu.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,CambridgeCentral.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Wiri.,AucklandRegion,1,1,Tue,NotStated,1/11/14
AggravatedSexualAssault,Mahora.,Hawke'sBayRegion,1,1,Fri,NotStated,1/01/15
AggravatedSexualAssault,OtaraNorth.,AucklandRegion,1,1,Thu,NotStated,1/07/14
AggravatedSexualAssault,WindsorPark.,AucklandRegion,1,1,Sat,NotStated,1/10/14
AggravatedSexualAssault,GlendeneSouth.,AucklandRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,TikipungaEast.,NorthlandRegion,1,1,Wed,NotStated,1/08/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Mon,NotStated,1/08/14
AggravatedSexualAssault,MtStJohn.,AucklandRegion,1,1,UNKNOWN,NotStated,1/11/14
AggravatedSexualAssault,MangereSouth.,AucklandRegion,1,1,Thu,NotApplicable,1/10/14
AggravatedSexualAssault,Thorndon-TinakoriRoad.,WellingtonRegion,2,1,UNKNOWN,NotApplicable,1/10/14
AggravatedSexualAssault,TeMaunga.,BayofPlentyRegion,1,1,UNKNOWN,NotApplicable,1/10/14
AggravatedSexualAssault,Belmont.,WellingtonRegion,1,1,Thu,NotStated,1/12/14
Non-AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,Mon,NotApplicable,1/01/15
AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,1,1,UNKNOWN,NotStated,1/07/14
AggravatedSexualAssault,PlayfordPark.,Manawatu-WanganuiRegion,1,1,Sat,NotStated,1/07/14
AggravatedSexualAssault,Roslyn.,Manawatu-WanganuiRegion,1,1,Thu,NotStated,1/07/14
AggravatedSexualAssault,WestEnd.,Manawatu-WanganuiRegion,1,1,Thu,NotStated,1/07/14
AggravatedSexualAssault,HaweraSouth.,TaranakiRegion,1,1,UNKNOWN,NotStated,1/07/14
AggravatedSexualAssault,GonvilleWest.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotStated,1/07/14
AggravatedSexualAssault,Moturoa.,TaranakiRegion,1,1,Wed,NotApplicable,1/07/14
AggravatedSexualAssault,Fairdene.,AucklandRegion,1,1,Sun,NotStated,1/10/14
AggravatedSexualAssault,Lambton.,WellingtonRegion,1,1,Fri,NotStated,1/10/14
AggravatedSexualAssault,Oxford.,CanterburyRegion,1,1,Fri,NotApplicable,1/10/14
AggravatedSexualAssault,Brooklyn.,WellingtonRegion,1,1,Sat,NotStated,1/10/14
AggravatedSexualAssault,Phillipstown.,CanterburyRegion,1,1,Sat,NotStated,1/10/14
AggravatedSexualAssault,Moera.,WellingtonRegion,1,1,Wed,NotStated,1/10/14
AggravatedSexualAssault,JelliePark.,CanterburyRegion,1,1,Wed,NotStated,1/10/14
AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,Mon,NotStated,1/08/14
AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,Sat,NotStated,1/08/14
AggravatedSexualAssault,NewBrighton.,CanterburyRegion,1,1,Thu,NotStated,1/08/14
AggravatedSexualAssault,Linwood.,CanterburyRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,RiccartonWest.,CanterburyRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,IselPark.,NelsonRegion,1,1,Tue,NotStated,1/08/14
AggravatedSexualAssault,Adelaide.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,TePukeEast.,BayofPlentyRegion,1,1,Fri,NotStated,1/08/14
AggravatedSexualAssault,Omokoroa.,BayofPlentyRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,Greerton.,BayofPlentyRegion,1,1,Wed,NotStated,1/08/14
AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,Sun,NotStated,1/01/15
AggravatedSexualAssault,MangereCentral.,AucklandRegion,1,1,UNKNOWN,NotStated,1/11/14
AggravatedSexualAssault,PapakuraNorthEast.,AucklandRegion,1,1,Thu,NotApplicable,1/09/14
AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,FeildingEast.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,Ilam.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,Putaruru.,WaikatoRegion,1,1,Tue,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Kuirau.,BayofPlentyRegion,2,1,UNKNOWN,NotApplicable,1/09/14
