CountiresandAreas,AnyViolentDiscipline,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest
Afghanistan,74,75,74,78,74,74,74,75,74,76
Albania,77,81,73,70,82,86,80,80,74,60
Algeria,86,88,85,87,86,86,88,87,87,84
Andorra,,,,,,,,,,
Angola,,,,,,,,,,
AntiguaandBarbuda,,,,,,,,,,
Argentina,72,74,71,,,76,74,75,70,67
Armenia,69,71,67,68,71,73,69,69,65,68
Australia,,,,,,,,,,
Austria,,,,,,,,,,
Azerbaijan,77,80,74,76,78,81,76,76,75,74
Bahamas,,,,,,,,,,
Bahrain,,,,,,,,,,
Bangladesh,82,83,82,77,84,87,85,83,81,73
Barbados,75,78,72,77,72,80,71,78,75,72
Belarus,65,67,62,66,62,64,67,62,65,65
Belgium,,,,,,,,,,
Belize,65,67,63,68,64,72,69,61,61,59
Benin,91,92,90,92,90,90,91,90,94,91
Bhutan,,,,,,,,,,
Bolivia(PlurinationalStateof),,,,,,,,,,
BosniaandHerzegovina,55,60,50,54,56,59,54,54,59,51
Botswana,,,,,,,,,,
Brazil,,,,,,,,,,
BruneiDarussalam,,,,,,,,,,
Bulgaria,,,,,,,,,,
BurkinaFaso,83,84,82,86,82,81,83,82,82,86
Burundi,,,,,,,,,,
CaboVerde,,,,,,,,,,
Cambodia,,,,,,,,,,
Cameroon,85,85,85,87,84,80,86,87,88,87
Canada,,,,,,,,,,
CentralAfricanRepublic,92,92,92,92,92,92,94,91,91,92
Chad,71,72,71,72,71,70,72,72,70,71
Chile,,,,,,,,,,
China,,,,,,,,,,
Colombia,,,,,,,,,,
Comoros,,,,,,,,,,
Congo,83,,,,,,,,,
CookIslands,,,,,,,,,,
CostaRica,46,52,39,47,45,47,47,44,53,35
IvoryCoast,91,91,91,92,90,91,91,91,92,89
Croatia,,,,,,,,,,
Cuba,36,37,35,36,36,,,,,
Cyprus,,,,,,,,,,
CzechRepublic,,,,,,,,,,
DemocraticPeople'sRepublicofKorea,,,,,,,,,,
DemocraticRepublicoftheCongo,82,82,81,83,81,79,79,84,81,85
Denmark,,,,,,,,,,
Djibouti,72,73,71,73,61,,,,,
Dominica,,,,,,,,,,
DominicanRepublic,63,64,61,63,64,61,63,63,65,62
Ecuador,,,,,,,,,,
Egypt,93,93,93,92,93,93,94,94,94,91
ElSalvador,52,55,50,54,50,48,52,54,55,53
EquatorialGuinea,,,,,,,,,,
Eritrea,,,,,,,,,,
Estonia,,,,,,,,,,
Ethiopia,,,,,,,,,,
Fiji,72,,,,,,,,,
Finland,,,,,,,,,,
France,,,,,,,,,,
Gabon,,,,,,,,,,
Gambia,90,90,91,89,91,93,90,90,90,88
Georgia,67,70,63,68,66,68,68,66,66,67
Germany,,,,,,,,,,
Ghana,94,94,94,94,94,93,94,94,94,92
Greece,,,,,,,,,,
Grenada,,,,,,,,,,
Guatemala,,,,,,,,,,
Guinea,,,,,,,,,,
GuineaBissau,82,83,82,82,83,84,82,83,84,80
Guyana,70,74,65,71,69,72,70,71,66,68
Haiti,85,85,84,85,85,84,86,85,87,81
HolySee,,,,,,,,,,
Honduras,,,,,,,,,,
Hungary,,,,,,,,,,
Iceland,,,,,,,,,,
India,,,,,,,,,,
Indonesia,,,,,,,,,,
Iran(IslamicRepublicof),,,,,,,,,,
Iraq,79,81,77,78,80,81,81,80,79,73
Ireland,,,,,,,,,,
Israel,,,,,,,,,,
